Unique ID, Generation, Average Fitness, Best Fitness
21,168,7.5476609685596665E-6,8.28761516365392E-6
21,169,7.547666390271264E-6,8.28761516365392E-6
21,170,7.547673406846676E-6,8.28761516365392E-6
21,171,7.5476753939776985E-6,8.28761516365392E-6
21,172,7.547683264779955E-6,8.28761516365392E-6
21,173,7.547687722624144E-6,8.28761516365392E-6
21,174,7.547693589951559E-6,8.28761516365392E-6
21,175,7.547696771918888E-6,8.28761516365392E-6
21,176,7.547701932370547E-6,8.28761516365392E-6
21,177,7.547704731596933E-6,8.28761516365392E-6
21,178,7.5477107690977E-6,8.28761516365392E-6
21,179,7.547712948417529E-6,8.28761516365392E-6
21,180,7.547723356111858E-6,8.28761516365392E-6
21,181,7.547726379042124E-6,8.28761516365392E-6
21,182,7.547730254182605E-6,8.28761516365392E-6
21,183,7.547734070484806E-6,8.28761516365392E-6
21,184,7.547736796580045E-6,8.28761516365392E-6
21,185,7.5477424577335084E-6,8.28761516365392E-6
21,186,7.547746256572841E-6,8.28761516365392E-6
21,187,7.547750331283789E-6,8.28761516365392E-6
21,188,7.547756950097511E-6,8.28761516365392E-6
21,189,7.5477588304757555E-6,8.28761516365392E-6
21,190,7.547762648840223E-6,8.28761516365392E-6
21,191,7.547771552156038E-6,8.28761516365392E-6
21,192,7.547782205662893E-6,8.28761516365392E-6
21,193,7.547788213876834E-6,8.28761516365392E-6
21,194,7.547792611991029E-6,8.28761516365392E-6
21,195,7.547795901354112E-6,8.28761516365392E-6
21,196,7.547804839629582E-6,8.28761516365392E-6
21,197,7.54780911518036E-6,8.28761516365392E-6
21,198,7.547820461207348E-6,8.28761516365392E-6
21,199,7.547825496090442E-6,8.28761516365392E-6
21,200,7.547827810187648E-6,8.28761516365392E-6
21,201,7.547826506315064E-6,8.28761516365392E-6
21,202,7.54783785254345E-6,8.28761516365392E-6
21,203,7.5478403336435905E-6,8.28761516365392E-6
21,204,7.547848674392936E-6,8.28761516365392E-6
21,205,7.547849260480924E-6,8.28761516365392E-6
