Unique ID, Generation, Average Fitness, Best Fitness
2,117,4.6919577993160036E-4,5.863056980074035E-4
2,118,4.697354569734243E-4,5.863056980074035E-4
2,119,4.7027018284972696E-4,5.863056980074035E-4
2,120,4.708000253846935E-4,5.863056980074035E-4
2,121,4.713250511693421E-4,5.863056980074035E-4
2,122,4.7184532558942384E-4,5.863056980074035E-4
2,123,4.7236091285256785E-4,5.863056980074035E-4
2,124,4.7203085357669134E-4,5.863056980074035E-4
2,125,4.7254100913218556E-4,5.863056980074035E-4
2,126,4.73046629971631E-4,5.863056980074035E-4
2,127,4.735477762903733E-4,5.863056980074035E-4
2,128,4.740445072230474E-4,5.863056980074035E-4
2,129,4.745368808668384E-4,5.863056980074035E-4
2,130,4.7502495430413343E-4,5.863056980074035E-4
2,131,4.755087836245824E-4,5.863056980074035E-4
2,132,4.7598842394658595E-4,5.863056980074035E-4
2,133,4.7646392943822733E-4,5.863056980074035E-4
2,134,4.769353533376659E-4,5.863056980074035E-4
2,135,4.774027479730066E-4,5.863056980074035E-4
2,136,4.768731411736437E-4,5.863056980074035E-4
2,137,4.77336838448363E-4,5.863056980074035E-4
2,138,4.777966226659117E-4,5.863056980074035E-4
2,139,4.7825254315053976E-4,5.863056980074035E-4
2,140,4.7870464840098686E-4,5.863056980074035E-4
2,141,4.791529861076802E-4,5.863056980074035E-4
2,142,4.795976031695048E-4,5.863056980074035E-4
2,143,4.8003854571015725E-4,5.863056980074035E-4
2,144,4.804758590940965E-4,5.863056980074035E-4
2,145,4.8005584492198303E-4,5.863056980074035E-4
2,146,4.804895177917194E-4,5.863056980074035E-4
2,147,4.809196648657669E-4,5.863056980074035E-4
2,148,4.8134632896755487E-4,5.863056980074035E-4
2,149,4.817695522298123E-4,5.863056980074035E-4
2,150,4.812647703878728E-4,5.863056980074035E-4
2,151,4.816849340983509E-4,5.863056980074035E-4
2,152,4.821017498908172E-4,5.863056980074035E-4
2,153,4.8251525762143854E-4,5.863056980074035E-4
2,154,4.829254965162447E-4,5.863056980074035E-4
2,155,4.833325051835327E-4,5.863056980074035E-4
2,156,4.8373632162597923E-4,5.863056980074035E-4
2,157,4.8413698325246916E-4,5.863056980074035E-4
2,158,4.8453452688964786E-4,5.863056980074035E-4
2,159,4.8492898879320506E-4,5.863056980074035E-4
2,160,4.8532040465889696E-4,5.863056980074035E-4
2,161,4.8570880963331434E-4,5.863056980074035E-4
2,162,4.860942383244028E-4,5.863056980074035E-4
2,163,4.8647672481174254E-4,5.863056980074035E-4
2,164,4.86856302656593E-4,5.863056980074035E-4
2,165,4.872330049117097E-4,5.863056980074035E-4
2,166,4.876068641309388E-4,5.863056980074035E-4
2,167,4.879779123785947E-4,5.863056980074035E-4
2,168,4.883461812386277E-4,5.863056980074035E-4
2,169,4.8823595836804774E-4,5.863056980074035E-4
2,170,4.886005298908707E-4,5.863056980074035E-4
